2022-05-19 17:02:53.201 DEBUG 12880 --- [           main] .c.l.ClasspathLoggingApplicationListener : Application started with classpath: [file:/C:/Users/celin/AppData/Local/Temp/surefire6079132901327147892/surefirebooter4471319690877566652.jar]
2022-05-19 17:02:53.253 DEBUG 12880 --- [kground-preinit] .h.v.m.ResourceBundleMessageInterpolator : Loaded expression factory via original TCCL
2022-05-19 17:02:53.262 DEBUG 12880 --- [kground-preinit] o.h.v.i.engine.ValidatorFactoryImpl      : HV000234: Using org.hibernate.validator.messageinterpolation.ResourceBundleMessageInterpolator as ValidatorFactory-scoped message interpolator.
2022-05-19 17:02:53.262 DEBUG 12880 --- [kground-preinit] o.h.v.i.engine.ValidatorFactoryImpl      : HV000234: Using org.hibernate.validator.internal.engine.resolver.TraverseAllTraversableResolver as ValidatorFactory-scoped traversable resolver.
2022-05-19 17:02:53.263 DEBUG 12880 --- [kground-preinit] o.h.v.i.engine.ValidatorFactoryImpl      : HV000234: Using org.hibernate.validator.internal.util.ExecutableParameterNameProvider as ValidatorFactory-scoped parameter name provider.
2022-05-19 17:02:53.263 DEBUG 12880 --- [kground-preinit] o.h.v.i.engine.ValidatorFactoryImpl      : HV000234: Using org.hibernate.validator.internal.engine.DefaultClockProvider as ValidatorFactory-scoped clock provider.
2022-05-19 17:02:53.263 DEBUG 12880 --- [kground-preinit] o.h.v.i.engine.ValidatorFactoryImpl      : HV000234: Using org.hibernate.validator.internal.engine.scripting.DefaultScriptEvaluatorFactory as ValidatorFactory-scoped script evaluator factory.
2022-05-19 17:02:53.317  INFO 12880 --- [           main] c.chicken.review.ReviewApplicationTests  : Starting ReviewApplicationTests on DESKTOP-C66KRN3 with PID 12880 (started by minji in C:\물류프로젝트\review)
2022-05-19 17:02:53.317 DEBUG 12880 --- [           main] c.chicken.review.ReviewApplicationTests  : Running with Spring Boot v2.1.9.RELEASE, Spring v5.1.10.RELEASE
2022-05-19 17:02:53.317  INFO 12880 --- [           main] c.chicken.review.ReviewApplicationTests  : No active profile set, falling back to default profiles: default
2022-05-19 17:02:53.318 DEBUG 12880 --- [           main] o.s.boot.SpringApplication               : Loading source class com.chicken.review.ReviewApplication
2022-05-19 17:02:53.377 DEBUG 12880 --- [           main] o.s.b.c.c.ConfigFileApplicationListener  : Loaded config file 'file:/C:/%EB%AC%BC%EB%A5%98%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/review/target/classes/application.properties' (classpath:/application.properties)
2022-05-19 17:02:53.377 DEBUG 12880 --- [           main] o.s.w.c.s.GenericWebApplicationContext   : Refreshing org.springframework.web.context.support.GenericWebApplicationContext@7f284218
2022-05-19 17:02:53.404 DEBUG 12880 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
2022-05-19 17:02:53.423 DEBUG 12880 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.internalCachingMetadataReaderFactory'
2022-05-19 17:02:53.471 DEBUG 12880 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\물류프로젝트\review\target\classes\com\chicken\review\config\ErrorConfiguration.class]
2022-05-19 17:02:53.473 DEBUG 12880 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\물류프로젝트\review\target\classes\com\chicken\review\config\StaticResourceConfiguration.class]
2022-05-19 17:02:53.474 DEBUG 12880 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\물류프로젝트\review\target\classes\com\chicken\review\config\TilesConfig.class]
2022-05-19 17:02:53.482 DEBUG 12880 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\물류프로젝트\review\target\classes\com\chicken\review\config\WebSecurityConfig.class]
2022-05-19 17:02:53.486 DEBUG 12880 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\물류프로젝트\review\target\classes\com\chicken\review\login\controller\UserController.class]
